Category,Code,Language,Description
JuridicalForm,400,FR,Autorité provinciale
JuridicalForm,401,FR,Organisme immatriculé par l'ONSS-APL
JuridicalForm,411,FR,Ville / commune
JuridicalForm,412,FR,Centre public d'action sociale
JuridicalForm,413,FR,Zone de police locale
JuridicalForm,414,FR,Intercommunale
JuridicalForm,415,FR,Association de projet
JuridicalForm,416,FR,Association prestataire de services (Région flamande)
JuridicalForm,417,FR,Association chargée de mission (Région flamande)
JuridicalForm,418,FR,Régie communale autonome
JuridicalForm,419,FR,Régie provinciale autonome
JuridicalForm,420,FR,Association de CPAS
JuridicalForm,421,FR,Prézone
JuridicalForm,422,FR,Zone de secours
JuridicalForm,451,FR,Organismes immatriculés pour l'O.N.P.
JuridicalForm,452,FR,Organisme immatriculé pour l'Administration des Pensions
JuridicalForm,453,FR,Société étrangère sans établissement belge cotée en bourse
JuridicalForm,454,FR,Entité étrangère avec un bien immobilier en Belgique (sans personnalité juridique)
JuridicalForm,506,FR,Société coopérative à responsabilité illimitée à finalité sociale
JuridicalForm,508,FR,Société coopérative à responsabilité limitée à finalité sociale
JuridicalForm,510,FR,Société privée à responsabilité limitée unipersonnelle à finalité sociale
JuridicalForm,511,FR,Société en nom collectif à finalité sociale
JuridicalForm,512,FR,Société en commandite simple à finalité sociale
JuridicalForm,513,FR,Société en commandite par actions à finalité sociale
JuridicalForm,514,FR,Société anonyme à finalité sociale
JuridicalForm,515,FR,Société privée à responsabilité limitée à finalité sociale
JuridicalForm,560,FR,Groupement d'intérêt économique à finalité sociale
JuridicalForm,606,FR,Société coopérative à responsabilité illimitée et à finalité sociale
JuridicalForm,608,FR,Société coopérative à responsabilité limitée à finalité sociale
JuridicalForm,610,FR,Société à responsabilité limitée
JuridicalForm,612,FR,Société en commandite
JuridicalForm,614,FR,Société anonyme à finalité sociale
JuridicalForm,616,FR,Société à responsabilité limitée de droit public
JuridicalForm,617,FR,Société en commandite de droit public
JuridicalForm,651,FR,Autre forme à finalité sociale de droit public
JuridicalForm,701,FR,Société commerciale irrégulière
JuridicalForm,702,FR,Société de droit commun
JuridicalForm,703,FR,Société momentanée
JuridicalForm,704,FR,Société interne
JuridicalForm,706,FR,Société coopérative
JuridicalForm,716,FR,Société coopérative de droit public
JuridicalForm,721,FR,Société ou association sans personnalité juridique
JuridicalForm,722,FR,Association momentanée
JuridicalForm,723,FR,Association de frais
JuridicalForm,724,FR,Syndicat
JuridicalForm,790,FR,Divers sans personnalité juridique
JuridicalForm,999,FR,Forme légale inconnue (ONSS)
JuridicalSituation,000,FR,Situation normale
JuridicalSituation,001,FR,Création juridique
JuridicalSituation,002,FR,Prorogation
JuridicalSituation,003,FR,Remplacement du numéro d'entreprise
JuridicalSituation,006,FR,Arrêt pour cause de remplacement du numéro d'entreprise
JuridicalSituation,010,FR,Dissolution de plein droit
JuridicalSituation,011,FR,Cessation des activités en Belgique (entité étrangère)
JuridicalSituation,012,FR,Dissolution volontaire – liquidation
JuridicalSituation,013,FR,Dissolution judiciaire ou nullité
JuridicalSituation,014,FR,Clôture de liquidation
JuridicalSituation,015,FR,Arrêt d’une entité sans personnalité juridique
JuridicalSituation,016,FR,Cessation d'activité d'une entité personne physique
JuridicalSituation,017,FR,Transfert d'une entité enregistrée personne physique
JuridicalSituation,018,FR,Arrêt de l’identification
JuridicalSituation,019,FR,Arrêt d’une entité EDRL ou non UE
JuridicalSituation,020,FR,Réunion des parts en une seule main
JuridicalSituation,021,FR,Fusion par absorption
JuridicalSituation,022,FR,Fusion par constitution d'une nouvelle entité
JuridicalSituation,023,FR,Scission
JuridicalSituation,024,FR,Scission par absorption
JuridicalSituation,025,FR,Scission par constitution de nouvelles entités
JuridicalSituation,026,FR,Scission mixte
JuridicalSituation,030,FR,Concordat judiciaire avant faillite
JuridicalSituation,031,FR,Concordat judiciaire après faillite
JuridicalSituation,040,FR,Sursis provisoire
JuridicalSituation,041,FR,Sursis définitif
JuridicalSituation,042,FR,Révocation du sursis
JuridicalSituation,043,FR,Fin du sursis
JuridicalSituation,048,FR,Ouverture de faillite avec excusabilité
JuridicalSituation,049,FR,Ouverture de faillite avec inexcusabilité
JuridicalSituation,050,FR,Ouverture de faillite
JuridicalSituation,051,FR,Clôture de faillite avec excusabilité
JuridicalSituation,052,FR,Clôture de faillite avec inexcusabilité
JuridicalSituation,053,FR,Clôture de faillite
JuridicalSituation,090,FR,Nouveaux statuts
JuridicalSituation,091,FR,Sursis (réorganisation judiciaire)
JuridicalSituation,100,FR,Identification de l'entité
JuridicalSituation,111,FR,Radiation en raison de l’arrêt dans un registre de l’EEE
JuridicalSituation,112,FR,Réouverture de liquidation
JuridicalSituation,999,FR,Dossier annulé
Language,0,FR,inconnu
Language,1,FR,français
Language,2,FR,néerlandais
Language,3,FR,allemand
Language,4,FR,anglais
Nace2003,01,FR,Culture de céréales et horticulture
Nace2003,011,FR,Culture de céréales et horticulture
Nace2003,0111,FR,Culture de céréales et cultures industrielles
Nace2003,01110,FR,Culture de céréales et cultures industrielles
Nace2003,0111001,FR,"la culture de céréales : blé dur, blé tendre, seigle, orge, avoine, maïs, riz, etc."
Nace2003,0111002,FR,la culture de pommes de terre
Nace2003,0111003,FR,la culture de betteraves sucrières
Nace2003,0111004,FR,la culture de tabac (y compris la récolte et le séchage des feuilles de tabac)
Nace2003,0111005,FR,"la culture des graines et des fruits oléagineux : arachides, fèves de soja, fèves de colza, etc."
Nace2003,0111006,FR,la culture de cônes de houblon et de racines et tubercules à forte teneur en amidon ou en inuline
Nace2003,0111007,FR,la culture du coton ou d'autres plantes textiles ; le rouissage de plantes à fibres végétales
Nace2003,0111008,FR,la culture de légumes à cosse secs tels que pois fourragers et haricots
Nace2003,0111009,FR,"la culture de plantes à usage pharmaceutique ou insecticide, parasiticide ou similaire"
Nace2003,0111010,FR,la production de semences céréalières
Nace2003,0111011,FR,les cultures n.d.a.
Nace2003,0112,FR,"Culture de légumes; horticulture, pépinières"
Nace2003,01121,FR,Culture de légumes
Nace2003,0112101,FR,"la culture de légumes : tomates, melons,oignons, choux, laitues, carottes, haricots, cresson, cressonnette, maïs sucré, courgettes, aubergines, poireaux, etc."
Nace2003,0112102,FR,"la culture de condiments : câpres, poivrons, fenouil, persil, cerfeuil, estragon, marjolaine, etc."
Nace2003,0112103,FR,"la culture des champignons et des truffes, la cueillette des champignons et des truffes dans les bois"
Nace2003,0112104,FR,la production de semences de légumes.
Nace2003,01122,FR,Culture de fleurs
Nace2003,0112201,FR,"la culture de fleurs, de fleurs à couper et de plantes ornementales d'intérieur"
Nace2003,0112202,FR,la fabrication de fleurs séchées
Nace2003,0112203,FR,la production de semences de fleurs.
Nace2003,01123,FR,Pépinières
Nace2003,0112301,FR,"la culture de plantes destinées à la plantation : arbustes, plantes ornementales d'intérieur, arbres, etc."
Nace2003,0112302,FR,la culture de gazon en rouleaux.
Nace2003,0113,FR,Culture de fruits
Nace2003,01130,FR,Culture de fruits
Nace2003,0113001,FR,"la culture de fruits : pommes, poires, agrumes, abricots, fraises, baies, cerises, pêches, bananes, avocats, dattes, etc."
Nace2003,0113002,FR,la culture de raisins de cuve et de raisins de table ; la production de vin en combinaison avec la culture de raisins
Nace2003,0113003,FR,"la culture de noix comestibles, y compris les noix de coco"
Nace2003,0113004,FR,"la culture de plantes destinées à la production de boissons, telles que le café, le cacao, le thé, le maté"
Nace2003,0113005,FR,"la culture de plantes pour épices : laurier, basilic, anis, coriandre, cumin, cannelle, clous de girofle, noix muscade, gingembre, etc."
Nace2003,0113006,FR,la culture d'olives ; la fabrication d'huile d'olives en combinaison avec la culture d'olives.
Nace2003,012,FR,Élevage
Nace2003,0121,FR,Élevage de bovins
Nace2003,01210,FR,Élevage de bovins
Nace2003,0121001,FR,l'élevage de bovins
Nace2003,0121002,FR,la production de lait cru de vache.
Nace2003,0122,FR,"Élevage d'ovins, caprins et équidés"
Nace2003,01220,FR,"Élevage d'ovins, caprins et équidés"
Nace2003,0122001,FR,l'élevage d'ovins et de caprins
Nace2003,0122002,FR,"l'élevage de chevaux, d'ânes, de mulets et de bardots"
Nace2003,0122003,FR,la production de laine brute
Nace2003,0122004,FR,la production de lait cru de brebis et de chèvre.
Nace2003,0123,FR,Élevage de porcins
Nace2003,01231,FR,Élevage de porcs reproducteurs
Nace2003,0123101,FR,"l'élevage de porcs reproducteurs, y compris l'élevage de sangliers."
Nace2003,01232,FR,Élevage de porcs à l'engrais
Nace2003,0123201,FR,"l'élevage de porcs à l'angrais, y compris l'engraissement pour le compte de tiers"
Nace2003,0124,FR,Élevage de volailles
Nace2003,01241,FR,Élevage de poules
Nace2003,0124101,FR,Elevage de poules
Nace2003,01242,FR,Production d'oeufs
Nace2003,0124201,FR,production d'oeufs
Nace2003,01243,FR,Élevage d'autres volailles
Nace2003,0124301,FR,"l'élevage de canards, d'oies, de dindes et de pintades."
Nace2003,0125,FR,Élevage d'autres animaux
Nace2003,01250,FR,Élevage d'autres animaux
Nace2003,0125001,FR,l'élevage d'abeilles et la production de miel et de cire d'abeilles
Nace2003,0125002,FR,l'élevage de lapins
Nace2003,0125003,FR,l'élevage d'animaux domestiques
Nace2003,0125004,FR,l'élevage d'animaux à fourrure
Nace2003,0125005,FR,l'élevage de gibier
Nace2003,0125006,FR,"l'élevage de vers à soie, la production de cocons de vers à soie"
Nace2003,0125007,FR,l'élevage de grenouilles et de reptiles aquatiques
Nace2003,0125008,FR,l'élevage d'escargots
Nace2003,0125009,FR,l'élevage d'animaux divers n.d.a.
Nace2003,013,FR,Culture et élevage associés
Nace2003,0130,FR,Culture et élevage associés
Nace2003,01300,FR,Culture et élevage associés
Nace2003,0130001,FR,"la culture associée à l'élevage de bétail, pour autant que le chiffre d'affaires d'une de ces deux activités n'atteigne pas les 2/3 du chiffre d'affaires total."
Nace2003,014,FR,"Services annexes à l'agriculture, à l'exclusion des services vétérinaires; aménagement des paysages"
Nace2003,0141,FR,Services annexes à la culture; aménagement des paysages
Nace2003,01410,FR,Services annexes à la culture; aménagement des paysages
Nace2003,0141001,FR,la préparation des terres
Nace2003,0141002,FR,la création de cultures
Nace2003,0141003,FR,le traitement des récoltes
